PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30077413,182,559,45.79777386,2558.8
30077621,20,182,15.94746563,1140
30077621,182,20,15.94746563,1140
30077622,20,122,15.2923598,1075.8
30077622,122,20,15.2923598,1075.8
30078091,207,177,8.245672869,385.44
30078091,177,207,8.245672869,385.44
30078092,207,200,6.715051207,235.48
30078092,200,207,6.715051207,235.48
30078093,207,195,7.745775781,336.46
30078093,195,207,7.745775781,336.46
30079851,1620,1620,9.150077699,416.45
30079851,1620,1611,9.675337713,410.31
30079851,1611,1620,9.675337713,410.31
30079851,1620,1620,9.150077699,416.45
30079851,1620,1620,9.150077699,416.45
30079851,1620,1620,9.150077699,416.45
30079851,1620,1620,9.150077699,416.45
30079851,1620,1617,8.624755824,422.59
30079851,1617,1617,8.39896392,396.89
30079851,1617,1620,8.624755824,422.59
30081391,392,391,5.369269602,129.55
30081391,391,392,5.369269602,129.55
30081391,392,392,5.34502017,119.47
30081391,392,391,5.369269602,129.55
30081391,391,391,5.362464915,128.71
30081391,391,392,5.369269602,129.55
30081392,392,391,5.369269602,129.55
30081392,391,392,5.369269602,129.55
30081392,392,392,5.34502017,119.47
30081392,392,391,5.369269602,129.55
30081392,391,1177,30.6202277,2209.6
30081392,1177,392,30.7445679,2222.8
30085271,1579,1579,9.110796094,459.62
30085271,1579,1579,9.110796094,459.62
30085271,1579,1579,9.110796094,459.62
30085271,1579,1566,9.548894247,511.5
30085271,1566,1579,9.548894247,511.5
30085271,1579,1579,9.110796094,459.62
30085271,1579,1579,9.110796094,459.62
30085271,1579,1579,9.110796094,459.62
30085272,1579,1566,9.548894247,511.5
30085272,1566,1579,9.548894247,511.5
30085273,1579,1565,10.52845994,827.4
30085273,1565,1579,10.52845994,827.4
30085481,69,69,5.192842614,100.96
30085481,69,69,5.192842614,100.96
30085481,69,69,5.192842614,100.96
30085481,69,1091,14.23577741,870.62
30085481,1091,1211,6.474783878,171.58
30085481,1211,88,18.22641733,1178.7
30085481,88,69,7.689420597,339.31
30089452,714,715,5.839226065,149.68
30089452,715,714,5.839226065,149.68
30089453,714,668,9.943999148,522.16
30089453,668,714,9.943999148,522.16
30095061,126,114,11.33945497,688.55
30095061,114,104,5.555903622,121.92
30095061,104,97,5.730907813,139.07
30095061,97,104,5.730907813,139.07
30095061,104,126,10.20950568,577.84
30095062,126,95,8.033242898,364.63
30095062,95,126,8.033242898,364.63
30095221,656,655,5.663479545,132.46
30095221,655,653,5.928924219,158.47
30095221,653,656,6.759838423,239.87
30096261,338,115,23.32374688,1594.5
30096261,115,110,5.540624006,120.42
30096261,110,115,5.540624006,120.42
30096261,115,115,4.844826151,52.255
30096261,115,326,19.24217159,1379.5
30096261,326,326,5.527509517,119.14
30096261,326,338,10.02868658,390.6
30101011,941,240,36.97395,2907
30101011,240,941,36.97395,2907
30101881,36,36,5.225443253,89.547
30101881,36,21,8.555842898,415.83
30101881,21,36,8.555842898,415.83
30107292,527,77,52.33151108,3038.4
30107292,77,527,52.33151108,3038.4
30108971,1543,24,53.2037483,3214.5
30108971,24,1543,53.2037483,3214.5
30108971,1543,1543,6.405314205,212.83
30108972,1543,1598,18.60129375,1261.3
30108972,1598,1592,6.590092401,223.24
30108972,1592,1598,6.590092401,223.24
30108972,1598,1543,18.60129375,1261.3
30111661,1612,1405,52.88887685,3773.1
30111661,1405,1612,52.88887685,3773.1
30111661,1612,1605,14.71767301,1000.1
30111661,1605,1612,14.71767301,1000.1
30111721,391,409,6.100959091,194.86
30111721,409,391,6.100959091,194.86
30113171,884,239,28.77677599,1496.8
30113171,239,884,28.77677599,1496.8
30119421,298,282,5.660448366,165.2
30119421,282,298,5.660448366,165.2
30120241,171,112,16.86053097,910.04
30120241,112,184,7.206225923,283.6
30120241,184,115,7.229547443,285.89
30120241,115,171,15.60970568,787.5
30120661,45,45,5.242516832,252.17
30120661,45,58,6.372094957,362.84
30120661,58,45,6.372094957,362.84
30121451,47,45,6.071265909,823.05
30121451,45,47,6.071265909,823.05
30121452,47,143,23.90647557,1952.6
30121452,143,47,23.90647557,1952.6
30121453,47,185,18.80172273,1556.9
30121453,185,54,17.57935341,1110.5
30121453,54,47,7.383828267,772.82
30121701,570,463,9.550193324,782.71
30121701,463,570,9.550193324,782.71
30121701,570,1179,24.79232216,1581.2
30121701,1179,570,24.79232216,1581.2
30121702,570,491,27.41521989,1473.6
30121702,491,570,27.41521989,1473.6
30121702,570,1179,24.79232216,1581.2
30121702,1179,570,24.79232216,1581.2
30121703,570,4,46.44236335,2742.4
30121703,4,570,46.44236335,2742.4
30121703,570,1179,24.79232216,1581.2
30121703,1179,570,24.79232216,1581.2
30125471,522,188,38.02929517,2487.5
30125471,188,522,38.02929517,2487.5
30125472,522,77,46.30193935,2759.9
30125472,77,522,46.30193935,2759.9
30126571,26,34,5.570379048,123.34
30126571,34,26,5.570379048,123.34
30126571,26,26,5.131538565,80.344
30126571,26,26,5.131538565,80.344
30126571,26,37,6.543201918,218.65
30126571,37,26,6.543201918,218.65
30127471,142,149,6.52631392,216.99
30127471,149,147,5.061450284,73.476
30127471,147,115,7.570462287,319.29
30127471,115,119,5.562337145,122.55
30127471,119,142,7.075885227,270.84
30127822,605,316,65.46703239,3848.7
30127823,316,204,9.774748011,535.25
30127823,204,316,9.774748011,535.25
30128342,1267,1521,12.45418651,1035.7
30128342,1521,1267,12.45418651,1035.7
30128343,1267,1344,23.57552031,1791.4
30128343,1344,1267,23.57552031,1791.4
30128452,941,1006,9.68678196,1388.1
30128452,1006,941,9.68678196,1388.1
30129191,170,111,17.8193733,959.98
30129191,111,78,5.441770455,110.74
30129191,78,95,6.756869105,239.58
30129191,95,110,7.447668608,307.26
30129191,110,102,6.427645952,207.33
30129191,102,199,11.86156009,739.7
30129191,199,204,6.220536009,187.04
30129191,204,199,6.220536009,187.04
30129191,199,102,11.86156009,739.7
30129191,102,110,6.427645952,207.33
30129191,110,95,7.447668608,307.26
30129191,95,92,5.856547088,151.38
30129191,92,182,11.67783352,721.7
30129191,182,183,5.307779972,97.612
30129191,183,183,5.00361044,67.81
30129191,183,170,12.27540881,780.24
30129192,170,110,14.69602173,794.49
30129192,110,170,14.69602173,794.49
30130301,152,235,15.46928168,884.14
30130301,235,152,15.46928168,884.14
30130301,152,144,4.962225568,63.76
30130301,144,152,4.962225568,63.76
30130301,152,152,4.977690767,65.272
30130301,152,152,4.977690767,65.272
30130302,152,144,4.962225568,63.76
30130302,144,91,13.59428097,909.45
30130302,91,152,17.17107216,924.17
30130303,152,144,4.962225568,63.76
30130303,144,152,4.962225568,63.76
30130891,1614,1598,28.96792585,2359.2
30130891,1598,1614,28.96792585,2359.2
30130892,1614,1598,28.96792585,2359.2
30130892,1598,1614,28.96792585,2359.2
30131341,1016,880,11.70505227,535.2
30131341,880,1016,11.70505227,535.2
30131342,1016,1015,6.046336009,169.97
30131342,1015,1016,6.046336009,169.97
30131343,1016,1015,6.046336009,169.97
30131343,1015,1016,6.046336009,169.97
30131731,193,87,11.84485767,756.3
30131731,87,193,11.84485767,756.3
30131731,193,156,9.105166761,469.65
30131731,156,193,9.105166761,469.65
30132101,1228,1080,20.02718509,951.31
30132101,1080,1080,5.638549645,128.67
30132101,1080,1080,5.638549645,128.67
30132101,1080,1228,20.02718509,951.31
30138521,1564,98,69.35189034,4487.2
30138521,98,112,7.805780753,342.34
30138521,112,1564,73.40995852,4559.7
30139051,975,1008,9.275964418,391.97
30139051,1008,975,9.275964418,391.97
30139053,975,1008,9.275964418,391.97
30139053,1008,975,9.275964418,391.97
30145281,1405,1276,7.851248438,346.8
